Depth_(m),Light,Dilutions,CHL_before,CHL_after
60,1,1,0.048,0.026
60,1,0.5,0.024,0.005
60,1,0.25,0.012,0.009
60,0.6,1,0.048,0.012
60,0.6,0.5,0.024,0.016
60,0.6,0.25,0.012,0.008
60,0.1,1,0.048,0.037
60,0.1,0.5,0.024,0.007
60,0.1,0.25,0.012,0.010
