Depth_(m),Light,Dilutions,CHL_before,CHL_after
60,1,1,0.044,0.053
60,1,0.5,0.022,0.015
60,1,0.25,0.011,0.008
60,0.6,1,0.044,0.067
60,0.6,0.5,0.022,0.019
60,0.6,0.25,0.011,0.009
60,0.1,1,0.044,0.058
60,0.1,0.5,0.022,0.02
60,0.1,0.25,0.011,0.011
